Title,Region,City,Category,Sub-Category,Sales(USD),Quantity(Units),Discount(Sum),Profit(USD),Profit_Margin(%)
,"('Central',)",Bloomington,Office Supplies,Paper,114.2,5,0.0,52.53,46.0
,"('Central',)",Bloomington,Office Supplies,Storage,14.03,1,0.0,4.07,29.01
,"('Central',)",Bloomington,Office Supplies,Supplies,32.94,3,0.0,9.22,27.99
,"('Central',)",Bloomington,Technology,Accessories,529.97,5,0.0,189.59,35.77
,"('Central',)",Brownsville,Furniture,Bookcases,327.73,2,0.32,-14.46,-4.41
,"('Central',)",Brownsville,Furniture,Furnishings,24.85,5,0.0,7.7,30.99
,"('Central',)",Brownsville,Furniture,Tables,2003.52,6,0.2,-325.57,-16.25
,"('Central',)",Brownsville,Office Supplies,Binders,179.65,6,0.7,77.46,43.12
,"('Central',)",Brownsville,Office Supplies,Envelopes,17.48,2,0.0,8.22,47.03
,"('Central',)",Brownsville,Office Supplies,Labels,80.32,17,0.2,34.05,42.39
,"('Central',)",Brownsville,Office Supplies,Paper,19.44,3,0.0,9.33,47.99
,"('Central',)",Brownsville,Office Supplies,Storage,71.38,3,0.2,-4.46,-6.25
,"('Central',)",Brownsville,Office Supplies,Supplies,1.74,1,0.2,-0.35,-20.11
,"('Central',)",Brownsville,Technology,Accessories,121.34,8,0.0,17.47,14.4
,"('Central',)",Brownsville,Technology,Phones,329.99,2,0.4,-77.0,-23.33
,"('Central',)",Burlington,Office Supplies,Binders,5.4,3,0.0,2.59,47.96
,"('Central',)",Burlington,Office Supplies,Envelopes,7.28,1,0.0,3.49,47.94
,"('Central',)",Burlington,Office Supplies,Fasteners,9.65,6,0.2,3.5,36.27
,"('Central',)",Carrollton,Furniture,Furnishings,26.94,3,0.0,11.31,41.98
,"('Central',)",Carrollton,Office Supplies,Art,11.16,2,0.0,4.35,38.98
,"('Central',)",Carrollton,Office Supplies,Binders,679.96,5,0.2,220.99,32.5
,"('Central',)",Carrollton,Office Supplies,Paper,147.9,7,0.0,71.9,48.61
,"('Central',)",Carrollton,Office Supplies,Storage,39.81,4,0.2,3.98,10.0
,"('Central',)",Carrollton,Technology,Accessories,1399.94,7,0.2,52.5,3.75
,"('Central',)",Chicago,Furniture,Bookcases,2905.26,34,0.84,-32.02,-1.1
,"('Central',)",Chicago,Furniture,Chairs,4469.3,53,2.7,267.94,6.0
,"('Central',)",Chicago,Furniture,Furnishings,4100.83,129,5.2,388.71,9.48
,"('Central',)",Chicago,Furniture,Tables,6787.46,59,4.45,-1092.36,-16.09
,"('Central',)",Chicago,Office Supplies,Appliances,2803.56,54,3.7,146.93,5.24
,"('Central',)",Chicago,Office Supplies,Art,759.27,97,2.4,195.22,25.71
,"('Central',)",Chicago,Office Supplies,Binders,3642.84,187,20.7,895.59,24.58
,"('Central',)",Chicago,Office Supplies,Envelopes,226.84,14,0.2,102.54,45.2
,"('Central',)",Chicago,Office Supplies,Fasteners,76.62,33,0.6,26.14,34.12
,"('Central',)",Chicago,Office Supplies,Labels,356.26,66,1.2,159.3,44.71
,"('Central',)",Chicago,Office Supplies,Paper,1743.32,115,2.6,677.61,38.87
,"('Central',)",Chicago,Office Supplies,Storage,4534.38,82,1.8,424.14,9.35
,"('Central',)",Chicago,Office Supplies,Supplies,8295.78,19,0.2,355.37,4.28
,"('Central',)",Chicago,Technology,Accessories,3785.23,78,1.6,1025.27,27.09
,"('Central',)",Chicago,Technology,Copiers,1989.96,4,0.4,779.99,39.2
,"('Central',)",Chicago,Technology,Machines,1848.37,6,1.1,87.75,4.75
,"('Central',)",Chicago,Technology,Phones,13026.02,123,5.8,1025.17,7.87
,"('Central',)",College Station,Furniture,Chairs,233.06,3,0.3,-53.27,-22.86
,"('Central',)",College Station,Furniture,Tables,174.29,2,0.3,-19.92,-11.43
,"('Central',)",College Station,Office Supplies,Appliances,670.62,6,0.0,174.36,26.0
,"('Central',)",College Station,Office Supplies,Binders,31.73,14,1.8,-16.98,-53.51
,"('Central',)",College Station,Office Supplies,Envelopes,98.85,9,0.0,48.89,49.46
,"('Central',)",College Station,Office Supplies,Paper,44.38,1,0.2,15.53,34.99
,"('Central',)",College Station,Office Supplies,Storage,72.78,1,0.2,-18.2,-25.01
,"('Central',)",College Station,Office Supplies,Supplies,2.94,1,0.2,-0.66,-22.45
,"('Central',)",College Station,Technology,Accessories,121.28,7,0.2,27.16,22.39
,"('Central',)",College Station,Technology,Phones,602.98,7,0.0,161.06,26.71
,"('Central',)",Columbus,Furniture,Bookcases,498.71,9,0.8,-167.99,-33.68
,"('Central',)",Columbus,Furniture,Chairs,2420.17,23,0.8,-130.43,-5.39
,"('Central',)",Columbus,Furniture,Furnishings,532.2,21,1.2,67.46,12.68
,"('Central',)",Columbus,Office Supplies,Appliances,270.74,5,0.0,73.1,27.0
,"('Central',)",Columbus,Office Supplies,Art,226.16,30,0.2,40.52,17.92
,"('Central',)",Columbus,Office Supplies,Binders,180.45,28,2.4,43.74,24.24
,"('Central',)",Columbus,Office Supplies,Envelopes,21.74,1,0.2,7.34,33.76
,"('Central',)",Columbus,Office Supplies,Labels,22.4,6,0.2,9.19,41.03
,"('Central',)",Columbus,Office Supplies,Paper,499.23,39,0.8,193.8,38.82
,"('Central',)",Columbus,Office Supplies,Supplies,21.76,7,0.0,6.37,29.27
,"('Central',)",Columbus,Technology,Accessories,1382.84,22,0.0,238.8,17.27
,"('Central',)",Columbus,Technology,Machines,343.2,1,0.2,38.61,11.25
,"('Central',)",Columbus,Technology,Phones,985.44,16,1.2,56.93,5.78
,"('Central',)",Conroe,Furniture,Tables,562.29,7,0.45,-255.59,-45.46
,"('Central',)",Conroe,Office Supplies,Art,17.36,5,0.2,3.59,20.68
,"('Central',)",Conroe,Office Supplies,Storage,111.67,9,0.2,6.98,6.25
,"('Central',)",Conroe,Office Supplies,Supplies,6.84,1,0.0,1.85,27.05
,"('Central',)",Conroe,Technology,Accessories,10.38,2,0.2,2.21,21.29
,"('Central',)",Conroe,Technology,Phones,368.69,9,1.2,-61.9,-16.79
,"('Central',)",Coppell,Furniture,Chairs,227.96,2,0.0,36.47,16.0
,"('Central',)",Coppell,Office Supplies,Art,23.31,12,0.4,6.95,29.82
,"('Central',)",Coppell,Office Supplies,Paper,10.69,2,0.2,3.74,34.99
,"('Central',)",Coppell,Office Supplies,Storage,1818.41,7,0.4,-338.02,-18.59
,"('Central',)",Coppell,Technology,Machines,71.98,3,0.2,24.29,33.75
,"('Central',)",Cottage Grove,Furniture,Bookcases,307.67,2,0.15,-14.48,-4.71
,"('Central',)",Cottage Grove,Furniture,Furnishings,82.38,6,0.0,25.54,31.0
,"('Central',)",Cottage Grove,Office Supplies,Art,41.86,7,0.0,10.47,25.01
,"('Central',)",Cottage Grove,Office Supplies,Storage,174.97,11,0.2,-26.96,-15.41
,"('Central',)",Cottage Grove,Technology,Accessories,567.74,11,0.2,137.51,24.22
,"('Central',)",Dallas,Furniture,Bookcases,773.01,11,0.35,48.89,6.32
,"('Central',)",Dallas,Furniture,Chairs,2254.85,38,1.5,85.73,3.8
,"('Central',)",Dallas,Furniture,Furnishings,1614.25,49,2.2,328.61,20.36
,"('Central',)",Dallas,Furniture,Tables,1829.74,12,1.85,-235.34,-12.86
,"('Central',)",Dallas,Office Supplies,Appliances,1750.2,27,3.6,46.68,2.67
,"('Central',)",Dallas,Office Supplies,Art,96.67,24,1.2,22.07,22.83
,"('Central',)",Dallas,Office Supplies,Binders,2253.1,76,6.7,777.14,34.49
,"('Central',)",Dallas,Office Supplies,Envelopes,946.19,21,0.8,356.97,37.73
,"('Central',)",Dallas,Office Supplies,Fasteners,79.05,26,0.6,30.21,38.22
,"('Central',)",Dallas,Office Supplies,Labels,42.18,11,0.4,15.86,37.6
,"('Central',)",Dallas,Office Supplies,Paper,1388.79,109,3.4,541.27,38.97
,"('Central',)",Dallas,Office Supplies,Storage,2300.27,48,2.0,-35.18,-1.53
,"('Central',)",Dallas,Office Supplies,Supplies,191.72,20,0.8,10.68,5.57
,"('Central',)",Dallas,Technology,Accessories,3277.56,83,2.8,403.41,12.31
,"('Central',)",Dallas,Technology,Copiers,1599.92,8,0.0,751.96,47.0
,"('Central',)",Dallas,Technology,Machines,4799.98,2,0.2,360.0,7.5
,"('Central',)",Dallas,Technology,Phones,4439.08,37,2.0,460.03,10.36
,"('Central',)",Dearborn,Furniture,Chairs,1705.88,7,0.2,157.77,9.25
,"('Central',)",Dearborn,Furniture,Furnishings,21.94,2,0.6,-10.42,-47.49
,"('Central',)",Dearborn,Office Supplies,Appliances,555.21,5,0.1,178.9,32.22
,"('Central',)",Dearborn,Office Supplies,Art,171.0,16,0.2,49.8,29.12
,"('Central',)",Dearborn,Office Supplies,Binders,58.47,15,2.5,-22.31,-38.16
,"('Central',)",Dearborn,Office Supplies,Paper,50.88,8,0.6,17.17,33.75
,"('Central',)",Dearborn,Office Supplies,Storage,601.03,9,0.0,152.58,25.39
,"('Central',)",Dearborn,Technology,Accessories,18.54,2,0.2,3.01,16.24
,"('Central',)",Dearborn,Technology,Phones,153.58,2,0.2,13.44,8.75
,"('Central',)",Decatur,Office Supplies,Binders,50.35,3,0.2,17.62,35.0
,"('Central',)",Decatur,Office Supplies,Paper,313.92,8,0.0,153.82,49.0
,"('Central',)",Decatur,Office Supplies,Storage,24.82,2,0.2,1.86,7.49
,"('Central',)",Decatur,Technology,Accessories,408.74,7,0.2,76.64,18.75
,"('Central',)",Des Moines,Furniture,Chairs,643.14,4,0.2,56.27,8.75
,"('Central',)",Des Moines,Furniture,Furnishings,103.53,12,0.0,43.48,42.0
,"('Central',)",Des Moines,Office Supplies,Art,40.3,2,0.0,10.88,27.0
,"('Central',)",Des Moines,Office Supplies,Binders,64.47,11,0.7,24.3,37.69
,"('Central',)",Des Moines,Office Supplies,Paper,128.49,12,0.4,46.52,36.21
,"('Central',)",Des Moines,Office Supplies,Storage,296.37,3,0.0,80.02,27.0
,"('Central',)",Des Moines,Technology,Phones,246.98,5,0.0,53.75,21.76
,"('Central',)",Detroit,Furniture,Bookcases,4198.39,16,0.62,158.56,3.78
,"('Central',)",Detroit,Furniture,Chairs,2801.36,31,1.1,124.25,4.44
,"('Central',)",Detroit,Furniture,Furnishings,796.55,30,1.8,334.65,42.01
,"('Central',)",Detroit,Furniture,Tables,2286.26,18,0.5,37.73,1.65
,"('Central',)",Detroit,Office Supplies,Appliances,606.66,27,0.8,-341.32,-56.26
,"('Central',)",Detroit,Office Supplies,Art,62.25,18,0.4,14.35,23.05
,"('Central',)",Detroit,Office Supplies,Binders,282.27,39,4.2,-4.69,-1.66
,"('Central',)",Detroit,Office Supplies,Envelopes,83.17,6,0.2,30.81,37.04
,"('Central',)",Detroit,Office Supplies,Fasteners,45.27,16,0.4,12.94,28.58
,"('Central',)",Detroit,Office Supplies,Labels,185.94,21,0.6,80.48,43.28
,"('Central',)",Detroit,Office Supplies,Paper,171.6,19,0.4,66.63,38.83
,"('Central',)",Detroit,Office Supplies,Storage,668.28,34,1.2,81.89,12.25
,"('Central',)",Detroit,Technology,Accessories,3066.45,23,0.6,724.58,23.63
,"('Central',)",Detroit,Technology,Phones,4650.54,34,1.8,763.7,16.42
,"('Central',)",Eagan,Furniture,Chairs,239.84,8,0.0,64.76,27.0
,"('Central',)",Eagan,Furniture,Furnishings,60.72,3,0.0,23.68,39.0
,"('Central',)",Eagan,Furniture,Tables,630.02,4,0.4,-199.51,-31.67
,"('Central',)",Eagan,Office Supplies,Appliances,58.24,5,0.2,5.1,8.76
,"('Central',)",Eagan,Office Supplies,Art,57.65,7,0.2,13.81,23.95
,"('Central',)",Eagan,Office Supplies,Binders,50.74,7,0.8,-41.71,-82.2
,"('Central',)",Eagan,Office Supplies,Fasteners,8.38,3,0.2,2.72,32.46
,"('Central',)",Eagan,Office Supplies,Labels,15.66,6,0.0,7.2,45.98
,"('Central',)",Eagan,Office Supplies,Paper,160.91,6,0.2,78.34,48.69
,"('Central',)",Eagan,Office Supplies,Storage,79.4,5,0.2,5.96,7.51
,"('Central',)",Eagan,Technology,Accessories,45.98,2,0.0,19.77,43.0
,"('Central',)",Eagan,Technology,Phones,159.98,2,0.2,14.0,8.75
,"('Central',)",Edmond,Furniture,Bookcases,2154.9,5,0.0,129.29,6.0
,"('Central',)",Edmond,Furniture,Furnishings,40.48,2,0.0,17.41,43.01
,"('Central',)",Edmond,Office Supplies,Appliances,83.9,10,0.0,20.98,25.01
,"('Central',)",Edmond,Office Supplies,Fasteners,17.9,5,0.0,8.77,48.99
,"('Central',)",Edmond,Office Supplies,Labels,14.62,2,0.0,6.87,46.99
,"('Central',)",Edmond,Office Supplies,Paper,11.76,2,0.0,5.76,48.98
,"('Central',)",Edmond,Technology,Accessories,583.92,12,0.0,85.79,14.69
,"('Central',)",Edmond,Technology,Phones,1000.92,8,0.2,239.73,23.95
,"('Central',)",El Paso,Furniture,Chairs,763.28,5,0.3,-21.81,-2.86
,"('Central',)",El Paso,Furniture,Furnishings,95.4,12,2.0,-32.17,-33.72
,"('Central',)",El Paso,Furniture,Tables,51.59,1,0.4,-15.48,-30.01
,"('Central',)",El Paso,Office Supplies,Art,13.12,5,0.2,1.48,11.28
,"('Central',)",El Paso,Office Supplies,Binders,3.8,1,0.8,-6.08,-160.0
,"('Central',)",El Paso,Office Supplies,Fasteners,93.36,12,0.0,0.93,1.0
,"('Central',)",El Paso,Office Supplies,Paper,20.74,4,0.2,7.26,35.0
,"('Central',)",El Paso,Office Supplies,Storage,514.14,15,0.4,61.04,11.87
,"('Central',)",El Paso,Technology,Accessories,483.08,10,0.4,-62.42,-12.92
,"('Central',)",El Paso,Technology,Phones,180.48,8,0.4,3.08,1.71
,"('Central',)",Elmhurst,Furniture,Tables,1673.18,12,0.2,20.91,1.25
,"('Central',)",Elmhurst,Office Supplies,Binders,10.53,7,0.2,3.68,34.95
,"('Central',)",Elmhurst,Office Supplies,Paper,9.66,2,0.2,3.26,33.75
,"('Central',)",Elmhurst,Office Supplies,Storage,230.38,3,0.2,-48.95,-21.25
,"('Central',)",Elmhurst,Office Supplies,Supplies,25.35,3,0.0,7.6,29.98
,"('Central',)",Elmhurst,Technology,Accessories,199.75,5,0.0,87.89,44.0
,"('Central',)",Evanston,Furniture,Chairs,1451.57,18,1.0,-140.23,-9.66
,"('Central',)",Evanston,Furniture,Furnishings,32.06,3,0.6,-12.83,-40.02
,"('Central',)",Evanston,Furniture,Tables,435.17,4,0.4,7.32,1.68
,"('Central',)",Evanston,Office Supplies,Appliances,130.11,2,0.2,13.01,10.0
,"('Central',)",Evanston,Office Supplies,Art,17.94,3,0.0,6.46,36.01
,"('Central',)",Evanston,Office Supplies,Binders,294.94,7,1.6,-230.15,-78.03
,"('Central',)",Evanston,Office Supplies,Envelopes,604.66,9,0.2,204.07,33.75
,"('Central',)",Evanston,Office Supplies,Fasteners,4.82,3,0.2,1.75,36.31
,"('Central',)",Evanston,Office Supplies,Labels,6.26,3,0.2,2.04,32.59
,"('Central',)",Evanston,Office Supplies,Paper,133.19,13,0.6,46.24,34.72
,"('Central',)",Evanston,Technology,Accessories,40.78,3,0.2,0.51,1.25
,"('Central',)",Evanston,Technology,Phones,11.99,1,0.2,0.9,7.51
,"('Central',)",Fort Worth,Furniture,Chairs,1242.9,5,0.1,262.39,21.11
,"('Central',)",Fort Worth,Furniture,Furnishings,113.14,6,0.6,47.47,41.96
,"('Central',)",Fort Worth,Office Supplies,Appliances,68.81,5,0.8,-123.86,-180.0
,"('Central',)",Fort Worth,Office Supplies,Binders,216.69,16,1.9,68.45,31.59
,"('Central',)",Fort Worth,Office Supplies,Fasteners,21.48,6,0.0,10.74,50.0
,"('Central',)",Fort Worth,Office Supplies,Paper,211.38,12,0.2,94.29,44.61
,"('Central',)",Fort Worth,Office Supplies,Supplies,70.12,4,0.0,21.04,30.01
,"('Central',)",Fort Worth,Technology,Accessories,95.98,2,0.2,12.0,12.5
,"('Central',)",Franklin,Furniture,Chairs,1951.84,8,0.0,585.55,30.0
,"('Central',)",Franklin,Furniture,Furnishings,14.76,2,0.0,4.28,29.0
,"('Central',)",Franklin,Office Supplies,Binders,192.48,9,0.2,88.22,45.83
,"('Central',)",Franklin,Office Supplies,Labels,3.75,1,0.0,1.8,48.0
,"('Central',)",Franklin,Technology,Phones,534.42,14,0.0,109.8,20.55
,"('Central',)",Fremont,Furniture,Chairs,1013.83,9,0.2,101.38,10.0
,"('Central',)",Fremont,Furniture,Furnishings,79.92,4,0.0,34.37,43.01
,"('Central',)",Fremont,Office Supplies,Appliances,60.34,7,0.0,15.69,26.0
,"('Central',)",Fremont,Office Supplies,Art,124.48,12,0.2,20.92,16.81
,"('Central',)",Fremont,Office Supplies,Binders,9.76,2,0.7,-6.83,-69.98
,"('Central',)",Fremont,Office Supplies,Fasteners,10.7,7,0.4,2.96,27.66
,"('Central',)",Fremont,Office Supplies,Paper,488.14,17,0.2,228.01,46.71
,"('Central',)",Fremont,Office Supplies,Storage,322.37,11,0.0,34.45,10.69
,"('Central',)",Fremont,Office Supplies,Supplies,64.4,5,0.0,1.93,3.0
,"('Central',)",Fremont,Technology,Accessories,421.11,11,0.4,90.84,21.57
,"('Central',)",Fremont,Technology,Phones,149.69,17,0.4,55.64,37.17
,"('Central',)",Gladstone,Furniture,Furnishings,126.3,3,0.0,40.42,32.0
,"('Central',)",Gladstone,Office Supplies,Binders,44.35,10,0.6,15.47,34.88
,"('Central',)",Gladstone,Office Supplies,Labels,104.67,13,0.0,50.35,48.1
,"('Central',)",Gladstone,Office Supplies,Paper,186.87,9,0.2,60.36,32.3
,"('Central',)",Gladstone,Technology,Accessories,218.01,5,0.0,98.56,45.21
,"('Central',)",Gladstone,Technology,Phones,327.94,7,0.2,83.19,25.37
,"('Central',)",Grand Prairie,Furniture,Bookcases,115.96,4,0.5,-64.94,-56.0
,"('Central',)",Grand Prairie,Furniture,Chairs,2087.71,20,1.3,-45.76,-2.19
,"('Central',)",Grand Prairie,Furniture,Furnishings,48.16,13,1.2,-11.6,-24.09
,"('Central',)",Grand Prairie,Furniture,Tables,253.18,3,0.2,-31.65,-12.5
,"('Central',)",Grand Prairie,Office Supplies,Appliances,79.47,3,0.0,22.25,28.0
,"('Central',)",Grand Prairie,Office Supplies,Art,86.29,11,0.2,24.91,28.87
,"('Central',)",Grand Prairie,Office Supplies,Binders,820.61,30,2.9,241.19,29.39
,"('Central',)",Grand Prairie,Office Supplies,Fasteners,3.29,1,0.0,1.48,44.98
,"('Central',)",Grand Prairie,Office Supplies,Paper,255.41,22,0.4,117.18,45.88
,"('Central',)",Grand Prairie,Office Supplies,Storage,198.15,13,0.4,27.03,13.64
,"('Central',)",Grand Prairie,Technology,Accessories,559.95,13,0.0,183.58,32.79
,"('Central',)",Grand Prairie,Technology,Phones,444.55,10,0.2,87.66,19.72
,"('Central',)",Grapevine,Furniture,Bookcases,781.86,10,0.32,-137.98,-17.65
,"('Central',)",Grapevine,Furniture,Chairs,1526.63,12,0.8,-173.51,-11.37
,"('Central',)",Grapevine,Office Supplies,Art,38.83,9,0.2,7.36,18.95
,"('Central',)",Grapevine,Office Supplies,Binders,62.77,18,2.2,-31.93,-50.87
,"('Central',)",Grapevine,Office Supplies,Fasteners,8.04,5,0.2,2.91,36.19
,"('Central',)",Grapevine,Office Supplies,Labels,3.15,1,0.0,1.51,47.94
,"('Central',)",Grapevine,Office Supplies,Paper,54.07,15,0.6,17.45,32.27
,"('Central',)",Grapevine,Office Supplies,Storage,497.61,9,0.0,129.38,26.0
,"('Central',)",Grapevine,Technology,Accessories,100.8,2,0.2,21.42,21.25
,"('Central',)",Grapevine,Technology,Phones,1078.94,8,0.6,-208.33,-19.31
,"('Central',)",Green Bay,Furniture,Bookcases,359.5,3,0.15,-29.61,-8.24
,"('Central',)",Green Bay,Furniture,Chairs,685.15,10,0.8,-73.23,-10.69
,"('Central',)",Green Bay,Furniture,Furnishings,144.19,14,1.2,-14.32,-9.93
,"('Central',)",Green Bay,Furniture,Tables,136.46,2,0.2,15.35,11.25
,"('Central',)",Green Bay,Office Supplies,Appliances,215.13,7,0.2,58.17,27.04
,"('Central',)",Green Bay,Office Supplies,Binders,79.47,17,2.0,-61.14,-76.93
,"('Central',)",Green Bay,Office Supplies,Envelopes,31.12,4,0.0,14.63,47.01
,"('Central',)",Green Bay,Office Supplies,Fasteners,48.55,6,0.4,16.32,33.61
,"('Central',)",Green Bay,Office Supplies,Labels,6.26,3,0.2,2.04,32.59
,"('Central',)",Green Bay,Office Supplies,Paper,408.48,34,0.8,132.8,32.51
,"('Central',)",Green Bay,Office Supplies,Storage,10.48,1,0.0,2.83,27.0
,"('Central',)",Green Bay,Technology,Accessories,468.9,6,0.0,206.32,44.0
,"('Central',)",Green Bay,Technology,Copiers,319.98,2,0.2,107.99,33.75
,"('Central',)",Green Bay,Technology,Machines,1035.8,4,0.0,269.31,26.0
,"('Central',)",Green Bay,Technology,Phones,3350.28,14,0.6,796.67,23.78
,"('Central',)",Harlingen,Furniture,Tables,35.54,1,0.2,-0.89,-2.5
,"('Central',)",Harlingen,Office Supplies,Binders,33.57,8,0.8,-53.71,-159.99
,"('Central',)",Harlingen,Office Supplies,Fasteners,3.96,2,0.0,0.08,2.02
,"('Central',)",Harlingen,Office Supplies,Labels,61.06,2,0.0,28.09,46.0
,"('Central',)",Harlingen,Office Supplies,Paper,38.88,7,0.2,15.62,40.17
,"('Central',)",Harlingen,Office Supplies,Storage,53.42,3,0.2,4.67,8.74
,"('Central',)",Highland Park,Furniture,Chairs,562.74,4,0.6,-24.12,-4.29
,"('Central',)",Highland Park,Furniture,Furnishings,54.3,6,0.2,9.42,17.35
,"('Central',)",Highland Park,Furniture,Tables,286.85,1,0.0,63.11,22.0
,"('Central',)",Highland Park,Office Supplies,Appliances,671.54,3,0.2,50.37,7.5
,"('Central',)",Highland Park,Office Supplies,Binders,1059.28,33,3.8,401.63,37.92
,"('Central',)",Highland Park,Office Supplies,Envelopes,35.7,4,0.0,16.98,47.56
,"('Central',)",Highland Park,Office Supplies,Paper,59.44,2,0.0,28.53,48.0
,"('Central',)",Highland Park,Office Supplies,Storage,1284.18,10,0.0,251.34,19.57
,"('Central',)",Highland Park,Technology,Accessories,267.94,7,0.2,88.84,33.16
,"('Central',)",Highland Park,Technology,Machines,703.71,6,0.7,-938.28,-133.33
,"('Central',)",Houston,Furniture,Bookcases,9807.74,44,2.49,-648.65,-6.61
,"('Central',)",Houston,Furniture,Chairs,12895.72,87,3.6,1540.41,11.95
,"('Central',)",Houston,Furniture,Furnishings,2026.51,108,6.2,395.24,19.5
,"('Central',)",Houston,Furniture,Tables,4089.08,30,2.1,-117.09,-2.86
,"('Central',)",Houston,Office Supplies,Appliances,3751.56,71,4.7,-403.23,-10.75
,"('Central',)",Houston,Office Supplies,Art,2149.81,157,3.4,557.26,25.92
